fiscal_year,age_group,category,gender,value
2023-24,Total,Number of exited members who rejoined and resubscribed,Not Available,1
2023-24,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,924457
2023-24,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,2535928
2023-24,18 to 21 years,Number of New EPF Subscribers during the year,Female,660300
2023-24,18 to 21 years,Number of New EPF Subscribers during the year,Male,2439893
2023-24,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,1
2023-24,18 to 21 years,Number of New EPF Subscribers during the year,Total,3100224
2023-24,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,30
2023-24,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,182197
2023-24,18 to 21 years,Number of exited members who rejoined and resubscribed,Not Available,0
2023-24,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,3063839
2023-24,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,1106656
2023-24,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,2
2023-24,18 to 21 years,Number of members that ceased subscribing during the year,Female,177297
2023-24,18 to 21 years,Number of members that ceased subscribing during the year,Male,638374
2023-24,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,0
2023-24,18 to 21 years,Number of members that ceased subscribing during the year,Total,815678
2023-24,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,7
2023-24,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,0
2023-24,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,22
2023-24,26 to 28 years,Number of members that ceased subscribing during the year,Total,1180064
2023-24,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,17
2023-24,26 to 28 years,Number of members that ceased subscribing during the year,Male,913485
2023-24,26 to 28 years,Number of members that ceased subscribing during the year,Female,266493
2023-24,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,31
2023-24,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,2451008
2023-24,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,0
2023-24,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,2067963
2023-24,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,383014
2023-24,26 to 28 years,Number of New EPF Subscribers during the year,Total,990928
2023-24,22 to 25 years,Number of members that ceased subscribing during the year,Female,425739
2023-24,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,4
2023-24,26 to 28 years,Number of New EPF Subscribers during the year,Male,734428
2023-24,26 to 28 years,Number of New EPF Subscribers during the year,Female,256479
2023-24,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,9
2023-24,22 to 25 years,Number of members that ceased subscribing during the year,Total,1665193
2023-24,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,22
