fiscal_year,state,age_group,category,gender,value,unit,note
2023-24,All India,Total,Number of exited members who rejoined and resubscribed,Not Available,1,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,924457,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,2535928,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of New EPF Subscribers during the year,Female,660300,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of New EPF Subscribers during the year,Male,2439893,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,1,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of New EPF Subscribers during the year,Total,3100224,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,30,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,182197,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Not Available,0,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,3063839,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,1106656,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,2,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of members that ceased subscribing during the year,Female,177297,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of members that ceased subscribing during the year,Male,638374,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,0,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of members that ceased subscribing during the year,Total,815678,value in Absolute Number,As of February
2023-24,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,7,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,0,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,22,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of members that ceased subscribing during the year,Total,1180064,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,17,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of members that ceased subscribing during the year,Male,913485,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of members that ceased subscribing during the year,Female,266493,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,31,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,2451008,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,0,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,2067963,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,383014,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of New EPF Subscribers during the year,Total,990928,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of members that ceased subscribing during the year,Female,425739,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,4,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of New EPF Subscribers during the year,Male,734428,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of New EPF Subscribers during the year,Female,256479,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,9,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of members that ceased subscribing during the year,Total,1665193,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,22,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of members that ceased subscribing during the year,Male,1239423,value in Absolute Number,As of February
